"","v0","v1","v2","v3"
"1","AnnotationType","True","False","PercentageTrue"
"2","TE_Copia","10","6154","0.162232316677482"
"3","threeprimeUTR","1610","4554","26.1194029850746"
"4","TE_Mariner","40","6124","0.648929266709929"
"5","CDS","2576","3588","41.7910447761194"
"6","MSAT","3","6161","0.0486696950032446"
"7","TE_Order_LINE","1325","4839","21.4957819597664"
"8","TE_P","30","6134","0.486696950032446"
"9","TE_TOC1","21","6143","0.340687865022713"
"10","rRNA","15","6149","0.243348475016223"
"11","mRNA","3924","2240","63.659961064244"
"12","miRNA","42","6122","0.681375730045425"
"13","TE_TOC2","1","6163","0.0162232316677482"
"14","TE_Order_LTR","264","5900","4.28293316028553"
"15","TE_Novosib","19","6145","0.308241401687216"
"16","introns","2385","3779","38.6924075275795"
"17","TE_RTE","49","6115","0.794938351719663"
"18","TE_Gypsy","149","6015","2.41726151849448"
"19","fiveprimeUTR","882","5282","14.3088903309539"
"20","irs","1846","4318","29.9480856586632"
"21","transposons","2068","4096","33.5496430889033"
"22","TE_DIRS","3","6161","0.0486696950032446"
"23","TE_Class_RET","1642","4522","26.6385463984426"
"24","TE_EnSpm","37","6127","0.600259571706684"
"25","anno","3924","2240","63.659961064244"
"26","TE_TCR1","4","6160","0.0648929266709929"
"27","TE_DualenRandI","80","6084","1.29785853341986"
"28","TE_REM1","9","6155","0.146009085009734"
"29","promoter","1175","4989","19.0622972096042"
"30","TE_Gulliver","16","6148","0.259571706683971"
"31","exons","3373","2791","54.7209604153147"
"32","TE_Class_DNA","308","5856","4.99675535366645"
"33","TE_L1","1213","4951","19.6787800129786"
"34","repetativeSeq","4676","1488","75.8598312783907"
"35","TE_Harbinger","0","6164","0"
"36","TE_Order_TIR","267","5897","4.33160285528877"
"37","TE_Order_DIRS","3","6161","0.0486696950032446"
"38","trs","1318","4846","21.3822193380921"
"39","genes","3924","2240","63.659961064244"
"40","TE_hAT","130","6034","2.10902011680727"
"41","TE_Order_SINE","85","6079","1.3789746917586"
"42","intergenic","2240","3924","36.340038935756"
"43","methCG","866","5298","14.04931862427"
"44","methCHH","80","6084","1.29785853341986"
"45","methCHG","24","6140","0.389357560025957"
"46","methAll","945","5219","15.3309539260221"
"47","CC1883","1980","4184","32.1219987021415"
"48","CC125","1057","5107","17.1479558728099"
"49","CC4350","4188","1976","67.9428942245295"
"50","J","2672","3492","43.3484750162232"
"51","CC1883specific","436","5728","7.07332900713822"
"52","CC4350specific","1520","4644","24.6593121349773"
"53","CC125specific","22","6142","0.356911096690461"
"54","Jspecific","993","5171","16.109669046074"
"55","vegetative","6076","88","98.5723556132382"
"56","zygote","2097","4067","34.020116807268"
"57","vegetativespecific","4067","2097","65.979883192732"
"58","zygotespecific","88","6076","1.42764438676184"
"59","wtAdrian","1683","4481","27.3036988968202"
"60","dcl3Adrian","1231","4933","19.9707981829981"
"61","ago3Adrian","1421","4743","23.0532121998702"
"62","mutantAdrian","1734","4430","28.1310837118754"
"63","wtAdrianspecific","246","5918","3.99091499026606"
"64","mutantAdrianspecific","297","5867","4.81829980532122"
"65","notDCL3dependent","248","5916","4.02336145360156"
"66","DCL3dependent","700","5464","11.3562621674238"
"67","AGO3dependent","368","5796","5.97014925373134"
"68","notAGO3dependent","106","6058","1.71966255678131"
"69","phased","149","6015","2.41726151849448"
"70","AnnotationType","specific","inbetween","common"
"71","repetitivenessClass","1515","2984","1665"
"72","AnnotationType","strong_bias","med_bias","no_bias"
"73","repetitivenessClass","2536","2182","829"
"74","AnnotationType","low","med","high"
"75","repetitivenessClass","518","1777","3477"
"76","AnnotationType","none","median","high"
"77","repetitivenessClass","6020","123","21"
